HHID,HV001,HV002,ta_id,urban_rural,HV246A,HV246D,HV246E,HV246G,HV248,HV245,HV271,HV251,HV204,HV206,HV226,HV219,HV243A,HV207,hhlivestock,livestock,sick,land,wealth,orphans,water,electricity,cooking,femalehh,cellphone,radio,urbanruralscore,capacity,na.rm
      705 25,"705","25","129",R,"0","0","0","0","0",,"-76227","4","10","0","8","2","0","0","0","0","0.1474810976127772",,"0.4509387477699431","0.06558491207204145","2.713362801768106","0","0.06933763861154778","0","1.482129956227955","0","0",,"0"
      706  7,"706","7","150",R,"2","0","0","2","0",,"59216","0","0","1","8","1","0","0","4","3.297086058958457","0.1474810976127772",,"3.27142978506499","0.8923625860164812","3.628017681060864","3.710833120585482","0.06933763861154778","1.128026505819387","1.482129956227955","0","0",,"0"
      706  8,"706","8","150",R,"0","6","0","0","0",,"-61955","0","10","0","8","1","0","0","6","3.569790162263189","0.1474810976127772",,"1.098462322657378","0.8923625860164812","2.713362801768106","0","0.06933763861154778","1.128026505819387","1.482129956227955","0","0",,"0"
      706 21,"706","21","150",R,"0","0","0","0","0",,"-19799","0","30","0","8","2","1","0","0","0","0.1474810976127772",,"2.351372015971455","0.8923625860164812","1.035532131927916","0","0.06933763861154778","0","0","0","0",,"0"
      706 26,"706","26","150",R,"0","0","0","0","0",,"-68866","2","5","0","8","2","0","0","0","0","0.1474810976127772",,"0.7758049443547702","0.2577521026250956","3.354301258075485","0","0.06933763861154778","0","1.482129956227955","0","0",,"0"
      706 30,"706","30","150",R,"0","0","0","0","0",,"179709","0","2","1","8","2","1","1","0","0","0.1474810976127772",,"3.743097442868065","0.8923625860164812","3.607956477388643","3.710833120585482","0.06933763861154778","0","0","1.877714042914808","0",,"0"
      706 33,"706","33","150",R,"15","5","0","1","0",,"76855","2","7","0","8","1","1","1","21","3.96194036190638","0.1474810976127772",,"3.380851244584147","0.2577521026250956","3.319279156749405","0","0.06933763861154778","1.128026505819387","0","1.877714042914808","0",,"0"
      706 36,"706","36","150",R,"0","0","0","0","0",,"-70836","0","10","0","8","1","0","0","0","0","0.1474810976127772",,"0.6832044856002039","0.8923625860164812","2.713362801768106","0","0.06933763861154778","1.128026505819387","1.482129956227955","0","0",,"0"
      707 28,"707","28","252",R,"0","0","0","0","1",,"-33674","2","10","0","8","1","1","1","0","0","0.01206354600288845",,"2.047744456715657","0.2577521026250956","2.713362801768106","0","0.06933763861154778","1.128026505819387","0","1.877714042914808","0",,"0"
      708  3,"708","3","180",R,"0","10","0","0","0",,"250903","0","10","1","7","1","1","1","10","3.820915810041628","0.1474810976127772",,"3.84470308385014","0.8923625860164812","2.713362801768106","3.710833120585482","3.609805837617369","1.128026505819387","0","1.877714042914808","0",,"0"
      708  4,"708","4","180",R,"0","0","0","0","0",,"82143","1","15","0","8","1","1","1","0","0","0.1474810976127772",,"3.406677427576247","0.469968566816753","2.331859911594696","0","0.06933763861154778","1.128026505819387","0","1.877714042914808","0",,"0"
      709  1,"709","1","21",R,"0","0","0","0","0",,"-48134","0","60","0","8","1","0","0","0","0","0.1474810976127772",,"1.648797893127177","0.8923625860164812","0.2395443726623597","0","0.06933763861154778","1.128026505819387","1.482129956227955","0","0",,"0"
