"","HHID","HV001","HV002","ta_id","urban_rural","HV246A","HV246D","HV246E","HV246G","HV248","HV245","HV271","HV251","HV204","HV206","HV226","HV219","HV243A","HV207","hhlivestock","livestock","sick","land","wealth","orphans","water","electricity","cooking","femalehh","cellphone","radio","urbanruralscore","capacity","na.rm"
"2972","      609  8",609,8,82,1,0,0,0,0,0,NA,317294,0,0,1,7,1,1,1,0,0,0.147481097612777,NA,3.90892872313312,0.892362586016481,3.62801768106086,3.71083312058548,3.60980583761737,1.12802650581939,0,1.87771404291481,3.53393934245179,NA,FALSE
"2973","      609 13",609,13,82,1,0,0,0,0,0,NA,232947,0,20,1,7,1,1,1,0,0,0.147481097612777,NA,3.82414408291564,0.892362586016481,1.81553893233594,3.71083312058548,3.60980583761737,1.12802650581939,0,1.87771404291481,3.53393934245179,NA,FALSE
"2974","      609 16",609,16,82,1,0,0,0,0,0,NA,114336,0,10,0,7,1,1,0,0,0,0.147481097612777,NA,3.54991079772322,0.892362586016481,2.71336280176811,0,3.60980583761737,1.12802650581939,0,0,3.53393934245179,NA,FALSE
"2975","      609 17",609,17,82,1,0,0,0,0,0,NA,155950,0,30,0,7,1,1,0,0,0,0.147481097612777,NA,3.68804689491122,0.892362586016481,1.03553213192792,0,3.60980583761737,1.12802650581939,0,0,3.53393934245179,NA,FALSE
"2976","      609 21",609,21,82,1,0,0,0,0,0,NA,232168,0,30,1,7,2,1,1,0,0,0.147481097612777,NA,3.82329453742248,0.892362586016481,1.03553213192792,3.71083312058548,3.60980583761737,0,0,1.87771404291481,3.53393934245179,NA,FALSE
"2977","      609 24",609,24,82,1,0,0,0,0,0,NA,157415,0,0,0,8,2,1,0,0,0,0.147481097612777,NA,3.69178489508113,0.892362586016481,3.62801768106086,0,0.0693376386115478,0,0,0,3.53393934245179,NA,FALSE
"2978","      609 27",609,27,82,1,0,0,0,0,0,NA,95091,0,10,0,7,1,0,1,0,0,0.147481097612777,NA,3.46682524849206,0.892362586016481,2.71336280176811,0,3.60980583761737,1.12802650581939,1.48212995622795,1.87771404291481,3.53393934245179,NA,FALSE
"2979","      609 30",609,30,82,1,0,0,0,0,0,NA,324234,2,0,1,7,2,1,1,0,0,0.147481097612777,NA,3.91487554158525,0.257752102625096,3.62801768106086,3.71083312058548,3.60980583761737,0,0,1.87771404291481,3.53393934245179,NA,FALSE
"2980","      609 33",609,33,82,1,0,0,0,0,0,NA,81794,0,15,0,7,1,1,0,0,0,0.147481097612777,NA,3.40412879109676,0.892362586016481,2.3318599115947,0,3.60980583761737,1.12802650581939,0,0,3.53393934245179,NA,FALSE
"2981","      609 34",609,34,82,1,0,0,0,0,0,NA,175664,0,0,1,7,2,1,0,0,0,0.147481097612777,NA,3.73511171523235,0.892362586016481,3.62801768106086,3.71083312058548,3.60980583761737,0,0,0,3.53393934245179,NA,FALSE
